Availability,Residence Type,Price(in Crores),Area(sq.ft),Price per sq.ft (₹),Construction Status,Locality,City
3 BHK,Apartment,2.89,778,37146,Under Construction,Santacruz East,Mumbai
2 BHK,Apartment,0.941,659,14280,Under Construction,Mira Road East,Mumbai
5 BHK,Villa,1.99,2921,6813,Under Construction,Boisar,Mumbai
2 BHK,Apartment,1.75,700,25000,Under Construction,Mulund West,Mumbai
1 BHK,Apartment,0.77,275,28000,Ready to move,Andheri West,Mumbai
2 BHK,Apartment,1.7,592,28716,Under Construction,Malad East,Mumbai
2 BHK,Apartment,1.724,672,25650,Under Construction,Saki Naka,Mumbai
2 BHK,Apartment,2.204,648,34005,Under Construction,Santacruz East,Mumbai
2 BHK,Apartment,0.37,592,6248,Under Construction,Badlapur East,Mumbai
1 BHK,Apartment,0.23,560,4105,Under Construction,Khopoli,Mumbai
1 BHK,Apartment,1.077,359,30000,Under Construction,Andheri West,Mumbai
2 BHK,Apartment,1.27,512,24804,Under Construction,Kurla,Mumbai
2 BHK,Apartment,1.24,515,24077,Under Construction,Thane West,Mumbai
2 BHK,Apartment,2.26,685,32992,Under Construction,Andheri West,Mumbai
1 BHK,Apartment,0.43,396,10856,Under Construction,Thane West,Mumbai
3 BHK,Apartment,2.26,837,27000,Under Construction,Goregaon East,Mumbai
1 BHK,Apartment,0.245,358,6846,Under Construction,Badlapur West,Mumbai
2 BHK,Apartment,1.46,639,22848,Under Construction,Malad West,Mumbai
2 BHK,Apartment,1.295,563,23000,Ready to move,Kurla,Mumbai
2 BHK,Apartment,2.26,868,26037,Under Construction,Borivali West,Mumbai
1 BHK,Apartment,0.933,434,21500,Under Construction,Dahisar,Mumbai
2 BHK,Apartment,0.514,643,8000,Under Construction,Vasai,Mumbai
1 RK ,Apartment,0.214,427,5000,Ready to move,Panvel,Mumbai
1 BHK,Apartment,0.392,464,8440,Under Construction,Dombivali,Mumbai
2 BHK,Apartment,0.6,543,11050,Under Construction,Vasai,Mumbai
1 BHK,Apartment,0.22,249,8835,Under Construction,Badlapur West,Mumbai
2 BHK,Apartment,3.12,780,40000,Under Construction,Andheri West,Mumbai
2 BHK,Apartment,0.42,765,5490,Under Construction,Rasayani,Mumbai
1 BHK,Apartment,0.436,476,9170,Under Construction,Kalyan West,Mumbai
2 BHK,Apartment,0.499,509,9813,Ready to move,Virar,Mumbai
2 BHK,Apartment,1.24,636,19496,Under Construction,Thane West,Mumbai
2 BHK,Apartment,1.373,572,24000,Under Construction,Mulund West,Mumbai
1 BHK,Apartment,0.4,380,10526,Under Construction,Nilje Gaon,Mumbai
2 BHK,Apartment,1.409,587,24000,Under Construction,Jogeshwari East,Mumbai
2 BHK,Apartment,0.444,614,7237,Ready to move,Taloja,Mumbai
3 BHK,Apartment,3.193,1076,29677,Under Construction,Andheri East,Mumbai
1 BHK,Apartment,1.39,450,30888,Under Construction,Powai,Mumbai
